Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.253,4.6382833100267115e-05,119.71806675542318,120021.20173384281,9.982731396e-314,0.0916197377792754,0.2379071195313201,0.01834703755629405
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.152,4.459450716520206e-05,122.05867710366692,129642.44801361191,8.9879420736e-314,0.10341328915532906,0.2572036785090973,0.02188558724661462
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.051,4.291653740264348e-05,123.22610790445646,136951.48785224045,8.0545404103e-314,0.10929558183912824,0.2718628312026092,0.02445011185215138
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.949,4.1691304673460036e-05,125.53480135974291,144450.40052740768,7.372982081e-314,0.12092831468460581,0.28690279655614526,0.02789013231416374
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.848,4.0652318413036616e-05,128.73288414218314,145620.2571020514,6.795026789e-314,0.1370423823797614,0.2892490836931475,0.030306565388491732
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.747,3.817958503678171e-05,134.28374435515826,149343.73643639713,5.4195231905e-314,0.16501130730232913,0.2967169663861432,0.035624605304160756
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.646,3.597038154702252e-05,144.07736168080046,163785.01274177266,4.1906129573e-314,0.21435806387547515,0.32568067148607577,0.049491664719126444
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.544,3.549019287545054e-05,150.90592933879267,176536.91438278242,3.923499142e-314,0.24876492854640034,0.3512561338471186,0.06178721272865406
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.443,3.574523742194257e-05,155.17621709467664,185178.17227047507,4.0653723803e-314,0.27028147788462703,0.368587209013822,0.0704901713058988
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.342,3.6485525955908824e-05,158.49102485347,191026.93734421258,4.4771715467e-314,0.28698368362955345,0.38031760619010635,0.07734018772933701
