Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.861,3.0739484194456846e-05,108.46381995680711,227741.93810947574,1.9869855549137423e-27,0.008908413406808036,0.665783153972354,0.1108564819430571
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.759,3.1726388252366774e-05,108.19833799026122,204541.8584885834,4.963029728756714e-27,0.006845257217553337,0.5976853013242761,0.0893303586279599
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.658,3.370481626032633e-05,108.00264112080751,179099.26209898837,1.0929049524971956e-26,0.005324426207129877,0.5230051188320177,0.06839776333834083
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.557,3.572377665130462e-05,107.54902988539045,153735.46547935213,1.701729615911342e-26,0.001799249563147186,0.4485562327495581,0.05030229213411418
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.456,3.852320819082865e-05,107.3760041190674,126883.73160723716,2.5459081210556705e-26,0.00045460387841578806,0.3697398904589897,0.034176999981499555
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.354,4.18844123043507e-05,107.31750678751791,99361.9255664722,3.5594911374563686e-26,0.0,0.28895672406480005,0.02087399709556525
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.253,4.617458528635371e-05,107.33990797661019,74696.20916465677,4.8532080094801986e-26,0.00017408772627277262,0.21655687249370867,0.011724234909332318
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.152,5.0405092092245474e-05,107.50358924883034,52725.937794415564,6.128932334572222e-26,0.0014461139743821747,0.15206880491562738,0.005782275979930237
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.051,5.4450558746348094e-05,107.52350616951114,34366.06987991638,7.348857145897392e-26,0.001600895554118526,0.09817814590453336,0.0024110185166005584
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.949,5.89922317606357e-05,107.57252983790562,19750.751177222926,8.718414744261636e-26,0.0019818761765841336,0.055278645744006066,0.0007658960854124859
