Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.987,5.845435468466919e-05,121.30506118314983,93802.44216251056,1.54445728766e-313,0.05636342510261404,0.18487128742674386,0.010132766073354426
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.886,5.52890349263041e-05,122.57349791526289,102279.20345764012,1.3683805314e-313,0.06306167465176318,0.2018818562693418,0.012177458377631211
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.785,5.281975634971164e-05,123.77572942095668,110035.199520603,1.2310223512e-313,0.0694103134424195,0.21744604409751064,0.014229591329501596
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.684,5.085910869420361e-05,125.00857405117728,117289.69207460665,1.12195770506e-313,0.0759206113386255,0.23200384992824652,0.016338416208397398
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.582,4.944840479304555e-05,126.28216048315761,124147.05839303178,1.04348469574e-313,0.08264605497159526,0.24576473073840976,0.018515260919914737
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.481,4.847949933125653e-05,126.03508832743468,125085.71785527123,9.895875404e-314,0.08134133798116129,0.24764836658071598,0.018640634999806928
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.38,4.6532533617065446e-05,129.0708101999073,121739.69397706506,8.8128397755e-314,0.09737211204251944,0.24093380101168133,0.019252938219294594
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.278,4.1324295263844115e-05,135.34674801312127,126510.12332046365,5.915661023e-314,0.13051353452231373,0.2505067633647979,0.0242053009696303
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.177,4.045795642850642e-05,142.50582295314172,139929.92593520327,5.4337440494e-314,0.16831855015713584,0.2774366801436583,0.03340834503578377
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.076,4.362317288281409e-05,150.47521673526106,150472.2980571505,7.1944541467e-314,0.21040262652974823,0.29859237162782293,0.04442398372389034
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.975,4.718498393109408e-05,156.9853998666772,160066.20277444465,9.17577731e-314,0.24478103116033859,0.31784474538012203,0.055215197149397974
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.873,5.100339473868474e-05,161.34753613941265,167142.5676525347,1.1299838827e-313,0.2678162181605626,0.33204509710917857,0.06342624998347399
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.772,4.936522635514776e-05,162.23270368679147,172492.73000731826,1.03885774157e-313,0.2724905333826348,0.34278142692743263,0.06650032205317812
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.671,5.1048894358562405e-05,165.81455691587746,177504.52438667155,1.1325148831e-313,0.2914052700576566,0.3528387436722038,0.07358231046773267
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.57,4.696261824562769e-05,164.35556598369197,180708.7231932165,9.0520822914e-314,0.28370075858593025,0.3592687046545214,0.07251156074715057
